"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3XZKylgjOC4SHdoIK4gd9X","Spectre - Bibio Remix","spotify:artist:5oOhM2DFWab8XhSdQiITry, spotify:artist:0qzzGu8qpbXYpzgV52wOFT","Tycho, Bibio","spotify:album:1IfAJS95MDac2dt3bSKwKE","Awake Remixes","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2016-01-15","https://i.scdn.co/image/ab67616d0000b273640a4042bd04c1db48d1ff75","1","7","258265","","false","0","spotify:user:padishahpiper","2018-08-20T03:33:46Z"
"spotify:track:4ZOv9mx6Lz7RRaBFi5UNaE","Aquarium","spotify:artist:0IVapwlnM3dEOiMsHXsghT","Nosaj Thing","spotify:album:3L4wUhGelZ8wyJ13O1jerU","Views/Octopus EP","spotify:artist:0IVapwlnM3dEOiMsHXsghT","Nosaj Thing","2006-01-01","https://i.scdn.co/image/ab67616d0000b273cef7d8e9957c127ef104018a","1","4","184000","https://p.scdn.co/mp3-preview/d087c3c592adbdc613062e9fb94f36e82443ea5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:padishahpiper","2018-08-20T03:34:26Z"
"spotify:track:3oGqaG8lbdMzw4kgRb0CYz","Places","spotify:artist:6y80I9YZi4DOpbaSUlL725","Shlohmo","spotify:album:3VpOUMVf32y2WQasgqmGPn","Bad Vibes","spotify:artist:6y80I9YZi4DOpbaSUlL725","Shlohmo","2011-08-09","https://i.scdn.co/image/ab67616d0000b2738334c3c5a224533c9cbe460c","1","2","302210","","false","0","spotify:user:padishahpiper","2018-08-20T03:34:31Z"
"spotify:track:2lJ4d8MCT6ZlDRHKJ1br14","Cirrus","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:7sN6lCgPf1rbZYmA3edMKv","The North Borders","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2013-03-21","https://i.scdn.co/image/ab67616d0000b273b033087945225272e885808c","1","3","352246","https://p.scdn.co/mp3-preview/957e675c7894b850eca414e44f8fae35e9233f59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:padishahpiper","2018-08-20T03:34:36Z"
"spotify:track:5WwaKGBmg0TpG8mRQpksl2","Horizon","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","spotify:album:0GXI4iAc5FshqWgIlaNAXO","Epoch","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2016-09-30","https://i.scdn.co/image/ab67616d0000b2735d91c6e082aa6f4d2a871e53","1","2","249925","","false","1","spotify:user:padishahpiper","2018-08-20T03:34:42Z"
"spotify:track:1depKpsqGCvr8wtjFFaFoO","Aminals","spotify:artist:5zS8r5hRRk1jzD41yYS1NO","Baths","spotify:album:66Pk1ZQyHpMjF2Fm7qjqQY","Cerulean","spotify:artist:5zS8r5hRRk1jzD41yYS1NO","Baths","2010-07-06","https://i.scdn.co/image/ab67616d0000b2735bb2b80d42efa06109b3cf3a","1","5","198400","","false","0","spotify:user:padishahpiper","2018-08-20T03:34:43Z"
"spotify:track:2SPTGg9SC5MT1FwNX4IYfx","Greenland","spotify:artist:6HCnsY0Rxi3cg53xreoAIm","Emancipator","spotify:album:1KHKPYKo4h8btHa8u3wjEB","Safe In the Steep Cliffs","spotify:artist:6HCnsY0Rxi3cg53xreoAIm","Emancipator","2010-06-29","https://i.scdn.co/image/ab67616d0000b273362ac7cb4dddfe003ccfc79d","1","1","191066","","false","0","spotify:user:padishahpiper","2018-08-20T03:34:43Z"
"spotify:track:4Y2W4zKa3q72ztbkA0r8Va","Dayvan Cowboy","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:0wBiN0fKhy0ywx732SpgUs","The Campfire Headphase","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","2005-10-17","https://i.scdn.co/image/ab67616d0000b27375ea8510776626eb920260c5","1","5","300186","https://p.scdn.co/mp3-preview/7e78387377c4285a13d0282565d0714f48376f19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:padishahpiper","2018-08-20T03:34:49Z"
"spotify:track:4zSbFrERDuBdZ1Bio9uee4","Looped","spotify:artist:6X8lhZ7YaRUBlOsOYimlyD","Kiasmos","spotify:album:5M7H7J3LJfIk9zqcDJVi6T","Kiasmos","spotify:artist:6X8lhZ7YaRUBlOsOYimlyD","Kiasmos","2014-10-27","https://i.scdn.co/image/ab67616d0000b2735bc340bc4ea2679a2a54d7d0","1","3","360705","","false","0","spotify:user:padishahpiper","2018-08-20T03:35:03Z"
"spotify:track:4v8Zcrb6kxKLokntjpSqyc","Strong Again (Teach Me to Feel)","spotify:artist:3MZHEsxGNxPt6WIMwDCby2","Bvdub","spotify:album:38DH3KrVKVGKASqc4GZvBP","Born In Tokyo","spotify:artist:3MZHEsxGNxPt6WIMwDCby2","Bvdub","2013","https://i.scdn.co/image/ab67616d0000b273314b65eabcbd91de4f8f6bea","1","3","698182","","false","0","spotify:user:padishahpiper","2018-08-20T03:35:19Z"
