"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1c4OpZ2G1MEcEKSknUZjdD","Ceremony - Version 1; 2016 Remaster","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:2ODAEaYlqS88SU4ZZu1bI6","Singles (2016 Remaster)","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","2005-09-30","https://i.scdn.co/image/ab67616d0000b273f142205e336ec0af3e1a4eb0","1","1","278760","https://p.scdn.co/mp3-preview/2a4cc64dd6236a0f2368973f778c14b0b1424b70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:padishahpiper","2018-02-09T20:35:55Z"
"spotify:local:TV+on+the+Radio:Return+to+Cookie+Mountain:I+Was+a+Lover:261","I Was a Lover","","TV on the Radio","","Return to Cookie Mountain","","","","","0","0","261000","","false","0","spotify:user:padishahpiper","2018-02-09T20:29:36Z"
"spotify:track:5Y8sPOwWupGEGM7ifBDR7F","Run Into Flowers","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","spotify:album:44Sy39wQjQFX0jJOufXTvv","Dead Cities, Red Seas & Lost Ghosts","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","2003","https://i.scdn.co/image/ab67616d0000b273fa9dda724cb8307177da49f0","1","3","249426","https://p.scdn.co/mp3-preview/443b86d3102943e1a534bc37ce1af2c3f3c1fc49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:padishahpiper","2018-02-09T20:25:51Z"
"spotify:track:2VGDntFPvgvqSiUf9ITEfW","Someone Great","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:1R8kkopLT4IAxzMMkjic6X","Sound of Silver","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2007-03-12","https://i.scdn.co/image/ab67616d0000b273e6272ad26e7a55bc342a6dd0","1","4","390013","https://p.scdn.co/mp3-preview/8cd01b585be5903f2a9b5740b59ecb3bd9333272?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:padishahpiper","2018-02-09T20:28:05Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","1","257519","https://p.scdn.co/mp3-preview/c3e2e9a753345c0a10fbc6dedc8d097ad905d085?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:padishahpiper","2018-02-09T20:26:14Z"
"spotify:track:0Gk2NWITP9Q1QJewMr28po","Midnight In A Perfect World","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","spotify:album:06HRPqj5bIfhxSpXN7lAPR","Endtroducing.....","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","1996-09-16","https://i.scdn.co/image/ab67616d0000b273b137543bb0f1357f385b09f3","1","13","298373","","false","0","spotify:user:padishahpiper","2018-02-10T23:24:42Z"
"spotify:track:3kKVqFF4pv4EXeQe428zl2","Protection","spotify:artist:6FXMGgJwohJLUSr5nVlf9X, spotify:artist:7xFnmid57ZE6iWEXdEXO3b","Massive Attack, Tracey Thorn","spotify:album:5CnZjFfPDmxOX7KnWLLqpC","Protection","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1994-09-26","https://i.scdn.co/image/ab67616d0000b273b129ba321c1903f9990a2612","1","1","471560","https://p.scdn.co/mp3-preview/e89d80ec279064d804d5f89b825ce7906136e318?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:padishahpiper","2018-02-09T20:27:16Z"
"spotify:track:4aOAzvRdOsZSwZIgwcdeL0","Let Down","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:7dxKtc08dYeRVHt3p9CZJn","OK Computer","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","1997-05-28","https://i.scdn.co/image/ab67616d0000b273adb1732fa8d44b8eb2f6c0bf","1","5","299560","","false","0","spotify:user:padishahpiper","2018-02-09T20:28:48Z"
"spotify:track:10NlLzAqfzw09h1CIdHtGC","Tracy","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","spotify:album:5adTU5fGiMKVJDazJhpW5l","Young Team","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","1997-10-21","https://i.scdn.co/image/ab67616d0000b2732331e1d1bc728f6b40c96645","1","5","439933","","false","0","spotify:user:padishahpiper","2018-02-10T23:23:59Z"
"spotify:track:7vM4BwX5bVCEzlJcfOLt7Q","Death Rays","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","spotify:album:4ROfp3chvmHLroE9ieK23N","Hardcore Will Never Die, But You Will","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","2011-02-15","https://i.scdn.co/image/ab67616d0000b273afc9593e90c59776982b5763","1","4","360640","","false","0","spotify:user:padishahpiper","2018-02-10T23:23:41Z"
