"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1c4OpZ2G1MEcEKSknUZjdD","Ceremony - Version 1; 2016 Remaster","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","spotify:album:2ODAEaYlqS88SU4ZZu1bI6","Singles (2016 Remaster)","spotify:artist:0yNLKJebCb8Aueb54LYya3","New Order","2005-09-30","https://i.scdn.co/image/ab67616d0000b273f142205e336ec0af3e1a4eb0","1","1","278760","https://p.scdn.co/mp3-preview/2a4cc64dd6236a0f2368973f778c14b0b1424b70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:padishahpiper","2019-03-15T03:02:29Z"
"spotify:track:58TSnL4BqEh8na5mXzPdjX","Goth Star","spotify:artist:5E1yjMbMNS3ghJbXtEvQCe","Pictureplane","spotify:album:5oE9wrUuaDs1IMFB9Qzbr6","Dark Rift","spotify:artist:5E1yjMbMNS3ghJbXtEvQCe","Pictureplane","2009-08-04","https://i.scdn.co/image/ab67616d0000b273227d28f3b8abd15ccb17dce1","1","6","199000","","false","0","spotify:user:padishahpiper","2019-03-14T16:08:34Z"
"spotify:track:65LHCsuVCdN0IUYHvC0Tz8","The Trees Grew Emotions and Died","spotify:artist:1ssulsHf3JrWakLxa8yFad","Cold Cave","spotify:album:4y40IVqmnn58hzfw1dn2VB","Love Comes Close","spotify:artist:1ssulsHf3JrWakLxa8yFad","Cold Cave","2009-11-02","https://i.scdn.co/image/ab67616d0000b273ea0eee94b8208675df23c472","1","6","244933","","false","0","spotify:user:padishahpiper","2019-03-14T16:02:17Z"
"spotify:track:1gb9zMcEcCx8A4uPUfzLY3","Alice Practice","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","spotify:album:5nM3cUPxqg7iqjaoyeCWtN","Crystal Castles","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","2008-03-18","https://i.scdn.co/image/ab67616d0000b273f0753292f2092c49fd2c8b03","1","2","161373","","false","0","spotify:user:padishahpiper","2019-03-14T16:06:36Z"
"spotify:track:6JQFuxLwhvtHRmRMebgiLB","Silent Shout","spotify:artist:7eQZTqEMozBcuSubfu52i4","The Knife","spotify:album:6rdNbdV3T4muFFFSjGdOj9","Silent Shout","spotify:artist:7eQZTqEMozBcuSubfu52i4","The Knife","2006-02-17","https://i.scdn.co/image/ab67616d0000b2735222ee4ec91edccef625de52","1","1","293626","https://p.scdn.co/mp3-preview/c715205c1b65246c970d2b86a71b2de0588f964c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:padishahpiper","2019-03-14T16:06:51Z"
"spotify:track:4CkgWaxHSASNWKF7waSYBR","I.C.D.K.","spotify:artist:1ssulsHf3JrWakLxa8yFad","Cold Cave","spotify:album:4y40IVqmnn58hzfw1dn2VB","Love Comes Close","spotify:artist:1ssulsHf3JrWakLxa8yFad","Cold Cave","2009-11-02","https://i.scdn.co/image/ab67616d0000b273ea0eee94b8208675df23c472","1","9","229386","","false","0","spotify:user:padishahpiper","2019-03-14T16:02:30Z"
"spotify:track:4E0GvuF0fAPAbAJ4EEEfnH","Destroy Everything You Touch","spotify:artist:0ucLPotcQNI7AViFytdhBz","Ladytron","spotify:album:6ymh8tztTK7rs6ZZCnfPkJ","Witching Hour","spotify:artist:0ucLPotcQNI7AViFytdhBz","Ladytron","2005","https://i.scdn.co/image/ab67616d0000b27310bc263b4502564a7aedcaf3","1","2","276493","https://p.scdn.co/mp3-preview/76972260d7a92c54b94bf8d039e72bbe1c1ad609?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:padishahpiper","2019-03-14T16:07:14Z"
"spotify:track:1r8oPEXqnhUVgkUkJNqEuF","Love Will Tear Us Apart - 2010 Remaster","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","spotify:album:2KPhpTUihx9KRWRwBtpTeJ","Substance","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","2010","https://i.scdn.co/image/ab67616d0000b273a1d7fb161ce10fbd09b08183","1","10","204621","https://p.scdn.co/mp3-preview/9a48243fc19a0aabc3ce7e51f3d73b700a02dac6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:padishahpiper","2019-03-14T16:40:08Z"
"spotify:track:3vyKSb9sAdXl0kQ1KnS9fY","Emerge","spotify:artist:5R7K1GezC0jy24v1R2n4x3","Fischerspooner","spotify:album:3OCiJ6mbOzJdzTrk8R9hy2","#1","spotify:artist:5R7K1GezC0jy24v1R2n4x3","Fischerspooner","2003-01-01","https://i.scdn.co/image/ab67616d0000b273cf3b2ef859bb7527936c1c1f","1","3","288306","https://p.scdn.co/mp3-preview/df867dd4a5302eb9bad0e31943dbfa6184d60677?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:padishahpiper","2019-04-30T17:08:09Z"
"spotify:track:1s6WVdrN6kz1ly1blsO4d3","Stay Ugly","spotify:artist:1ARDx2oCR7sJEjbnHsbbRU","Crim3s","spotify:album:4SdrdBBRHRo1CL6u3vJrR7","Stay Ugly EP","spotify:artist:1ARDx2oCR7sJEjbnHsbbRU","Crim3s","2013-04-11","https://i.scdn.co/image/ab67616d0000b2732ba83d30de29062f9bb9ccef","1","4","149090","https://p.scdn.co/mp3-preview/97b818781c35942786d867c7e8f9a76e3df6bf8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:padishahpiper","2019-04-30T17:23:26Z"
