"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1zTmKEtaxIqi2ByGBLmI3s","Daydream","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","spotify:album:3I3PmRvn5iFY8i6zzvEcci","Dive","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2011-10-04","https://i.scdn.co/image/ab67616d0000b2736ce6bb858321ae9bbd66d7a2","1","3","334459","https://p.scdn.co/mp3-preview/fd15156565e5be8aac97dd1c483df42f7b34777e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US2J71104503","spotify:user:padishahpiper","2019-05-29T17:07:13Z"
"spotify:track:7CEmvOrMOUXFUzYhktGCsH","Shy","spotify:artist:6ri0XKbaMvGEQ6r7fSee8g","A Sunny Day In Glasgow","spotify:album:6KVEo7d6PJxpJqjuZVfWlh","Ashes Grammar","spotify:artist:6ri0XKbaMvGEQ6r7fSee8g","A Sunny Day In Glasgow","2009-09-15","https://i.scdn.co/image/ab67616d0000b273b43818b752c647225b07b916","1","7","344000","https://p.scdn.co/mp3-preview/299ab7ce40269770c00965570b602b5d8bf452f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USANQ0910007","spotify:user:padishahpiper","2018-05-30T17:18:36Z"
"spotify:track:5l1jbVH8NqW2MIqQMyULLW","Black Spider","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","spotify:album:1jhGbkdgxlbQ8VO1hGe9Wd","Zidane, A 21st Century Portrait, An Original Soundtrack by Mogwai","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","2006","https://i.scdn.co/image/ab67616d0000b273049c317ca8e57b1d2f3774e4","1","1","306480","https://p.scdn.co/mp3-preview/26910729f9934e0d73ecea973022586ca5ca61ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBENL0600624","spotify:user:padishahpiper","2019-02-28T16:14:13Z"
"spotify:track:2ZIaH69kaz55RM4Pjx6KXl","Two Thousand and Seventeen","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:74r6JJ97ipO0CREXP9PMqZ","New Energy","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2017-09-29","https://i.scdn.co/image/ab67616d0000b2733f31769b727102837cb32a63","1","2","252255","https://p.scdn.co/mp3-preview/4b2868aff6ad4aa10dfdb39508ac9922c1084af5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBXNG1744401","spotify:user:padishahpiper","2018-11-27T17:31:26Z"
"spotify:track:1y9iSAufFmLrfXuYMTnV4T","Eyes Be Closed","spotify:artist:5juOkIIy18sFw9L30syt1Z","Washed Out","spotify:album:0vYB6MiRN1DAlZe79uR3LR","Within and Without","spotify:artist:5juOkIIy18sFw9L30syt1Z","Washed Out","2011-07-12","https://i.scdn.co/image/ab67616d0000b2737f6279df678cc10dc7ebc758","1","1","287720","https://p.scdn.co/mp3-preview/e718adfa5a0cf2e5e2c990efcb8e926480452399?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USSUB1194501","spotify:user:padishahpiper","2018-11-27T17:31:17Z"
"spotify:track:0EbIifYAM9wTYlPzKgTwFA","Lift","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:4ENxWWkPImVwAle9cpJ12I","OK Computer OKNOTOK 1997 2017","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2017-06-23","https://i.scdn.co/image/ab67616d0000b2730797b2dcca7a453c3374c599","2","3","246840","https://p.scdn.co/mp3-preview/b4d6968a0f126bf61ef5186ecd133622b9163431?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBKS1700121","spotify:user:padishahpiper","2018-05-30T17:17:23Z"
"spotify:track:16VrEJGnTFbJx9WlocKCFB","Dea","spotify:artist:5r4OqYJL7JrtZlffx7FJlb","The American Dollar","spotify:album:3gKvgVtROeziKq3RnN1WT2","The Technicolour Sleep","spotify:artist:5r4OqYJL7JrtZlffx7FJlb","The American Dollar","2007-01-01","https://i.scdn.co/image/ab67616d0000b27353f06dfe0416cfd1f0456d49","1","10","241546","https://p.scdn.co/mp3-preview/33b592da31cd09856a166663649c05220586dd5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USTC10716098","spotify:user:padishahpiper","2018-05-30T21:18:55Z"
"spotify:track:4TosLVcCT9XmxhENfC5XIV","Emergency Trap","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","spotify:album:2tOH9IbHlUABFGOBMGRdQK","Mr. Beast","spotify:artist:34UhPkLbtFKRq3nmfFgejG","Mogwai","2006-03-06","https://i.scdn.co/image/ab67616d0000b273377d273620af64eba6befabf","1","7","213320","https://p.scdn.co/mp3-preview/5dc6b0bfa6701897811f689b6d214a969af47a4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBENL0500533","spotify:user:padishahpiper","2018-05-30T17:19:23Z"
"spotify:track:1bAnW1SPd5iof57Unaqfzd","Sigur 4 (Untitled)","spotify:artist:6UUrUCIZtQeOf8tC0WuzRy","Sigur Rós","spotify:album:35aAMMFurDWUvb6DAxFttv","(Untitled)","spotify:artist:6UUrUCIZtQeOf8tC0WuzRy","Sigur Rós","2002-10-29","https://i.scdn.co/image/ab67616d0000b273a44fd0ce10024f0db246c696","1","4","417076","https://p.scdn.co/mp3-preview/8e3aca7b01229122e5ae857c93fe694ff3bc04c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","GBDCA0200192","spotify:user:padishahpiper","2018-11-27T20:41:42Z"
"spotify:track:3wLmg6wH6Srv8546aTJcpP","Dark Moves Of Love","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","spotify:album:4HshNHpHWtmaw8sDrOXNuE","Saturdays = Youth","spotify:artist:63MQldklfxkjYDoUE4Tppz","M83","2008-04-15","https://i.scdn.co/image/ab67616d0000b2739b4275c2e7153d19d45884fa","1","10","198853","https://p.scdn.co/mp3-preview/9903c0997edece6d6995bbd47bd34c3ea6f38a4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","GBSLQ0700010","spotify:user:padishahpiper","2018-05-30T17:21:47Z"
